iter	Logloss
0	0.6709851052
1	0.653231695
2	0.6330807594
3	0.6156218618
4	0.5968537092
5	0.5786647028
6	0.5608567685
7	0.5444338048
8	0.5282078181
9	0.5123656409
10	0.496817093
11	0.4816447509
12	0.467568318
13	0.4580024131
14	0.4443870776
15	0.4315638747
16	0.4191984575
17	0.4075280114
18	0.3961558492
19	0.3851765186
20	0.3744350191
21	0.3641095423
22	0.3545528338
23	0.3451668654
24	0.338560519
25	0.3295858384
26	0.3212724719
27	0.3129996649
28	0.305195564
29	0.2975113212
30	0.2900452363
31	0.2831156591
32	0.2761640955
33	0.2697668666
34	0.2633972234
35	0.2574739427
36	0.2517257855
37	0.2461740747
38	0.2409760155
39	0.2358808321
40	0.2310083225
41	0.2261977073
42	0.2217076324
43	0.2172128316
44	0.2128340506
45	0.2087399895
46	0.2055462436
47	0.2016290228
48	0.1979798489
49	0.1943452769
50	0.1908040969
51	0.1873675778
52	0.1841637601
53	0.1810077325
54	0.1779019079
55	0.1749829473
56	0.1722475293
57	0.1695912006
58	0.1668444755
59	0.1642809039
60	0.1617416986
61	0.1595358639
62	0.1572511194
63	0.1550678668
64	0.1529212363
65	0.1506774557
66	0.1486559199
67	0.1467385539
68	0.1454628447
69	0.1436974096
70	0.1418903416
71	0.1402975675
72	0.1386176758
73	0.1370404463
74	0.135559035
75	0.1341158919
76	0.1326135101
77	0.1311852272
78	0.1298083775
79	0.1285002051
80	0.1272036598
81	0.1260145659
82	0.1247440188
83	0.1235580035
84	0.1224594559
85	0.1214217042
86	0.1203442451
87	0.1193044584
88	0.1183488423
89	0.1173860758
90	0.1164995165
91	0.1156112801
92	0.1147469485
93	0.1139118348
94	0.1130659289
95	0.1122552488
96	0.1114751082
97	0.1107144274
98	0.1098896322
99	0.1090764651
100	0.1084086245
101	0.1077354657
102	0.1070593427
103	0.1063991043
104	0.1057806013
105	0.1051773657
106	0.1045294486
107	0.1040057895
108	0.1034683758
109	0.102938726
110	0.1024290264
111	0.1019204225
112	0.1014258147
113	0.1009558182
114	0.1005086714
115	0.1000306524
116	0.0996563456
117	0.09921364506
118	0.09877989405
119	0.09839242765
120	0.09796796082
121	0.09743684115
122	0.0972234073
123	0.09686056873
124	0.09652128584
125	0.09616284149
126	0.09579044903
127	0.09546017518
128	0.09514508119
129	0.0947993009
130	0.09448877979
131	0.09417942397
132	0.09386111233
133	0.09356548994
134	0.09324592495
135	0.09295692424
136	0.09264654873
137	0.09241376668
138	0.09214616177
139	0.09183494133
140	0.09157665262
141	0.09133972148
142	0.09109047485
143	0.09087411169
144	0.09064107111
145	0.09039044124
146	0.09014286234
147	0.08988304025
148	0.08961741075
149	0.08934886707
150	0.08913403446
151	0.08886954429
152	0.08864728647
153	0.08843575623
154	0.0882460604
155	0.08801431897
156	0.08782375464
157	0.08770404685
158	0.08753252264
159	0.08745344252
160	0.08729588748
161	0.08715279716
162	0.08699179552
163	0.08683748921
164	0.08661640885
165	0.08644883671
166	0.08630478246
167	0.08614644299
168	0.08595896182
169	0.0858319474
170	0.08568139792
171	0.08551712099
172	0.08539198834
173	0.08526472184
174	0.08518336876
175	0.08503407217
176	0.08488553625
177	0.08475649595
178	0.08467507476
179	0.08456646151
180	0.08445879374
181	0.08433939071
182	0.08419620882
183	0.08414147908
184	0.08404973561
185	0.08393729191
186	0.08379437174
187	0.08368987331
188	0.083572012
189	0.08342044213
190	0.08333446921
191	0.08324445821
192	0.08316191852
193	0.0830594058
194	0.0829960487
195	0.08282524105
196	0.08273939752
197	0.08265495642
198	0.08257640359
199	0.08249612584
200	0.08235484936
201	0.08224448575
202	0.08212998609
203	0.08200145971
204	0.08192550744
205	0.0818181175
206	0.08175296337
207	0.08167611384
208	0.08157538333
209	0.08142140195
210	0.08136527371
211	0.08129260323
212	0.08123003017
213	0.081154196
214	0.08109809024
215	0.08098597895
216	0.08092713252
217	0.08086754477
218	0.08080244712
219	0.08072229295
220	0.08066089191
221	0.08061925487
222	0.08055597502
223	0.080523481
224	0.08036709758
225	0.0803210499
226	0.08026376652
227	0.0801447754
228	0.08007169981
229	0.08001728729
230	0.07994641614
231	0.07983876401
232	0.07978215613
233	0.07971156572
234	0.07964654607
235	0.07959479885
236	0.07955665862
237	0.07943935256
238	0.07935465267
239	0.07931570323
240	0.0791924317
241	0.07914476705
242	0.07909739633
243	0.07904995506
244	0.07900124045
245	0.078965008
246	0.07890443458
247	0.0788380277
248	0.07878564398
249	0.07872130448
250	0.07864440741
251	0.07857923903
252	0.07853672569
253	0.07850156533
254	0.07845863344
255	0.07841588817
256	0.07837297801
257	0.0783357862
258	0.0782893097
259	0.07823408265
260	0.07813475631
261	0.07809049395
262	0.07805037822
263	0.07798102256
264	0.07794787648
265	0.07789811295
266	0.0778668253
267	0.07783053736
268	0.07780200604
269	0.07774548781
270	0.07766921667
271	0.0776372258
272	0.07757415795
273	0.07752173785
274	0.07744618058
275	0.07740088413
276	0.07735981299
277	0.0773265857
278	0.07728454931
279	0.07719638222
280	0.07712444181
281	0.07704464379
282	0.077019721
283	0.07694361347
284	0.07690825842
285	0.07684064078
286	0.07681640909
287	0.0767600766
288	0.07668802068
289	0.07665487276
290	0.07657247895
291	0.07653457257
292	0.07651028247
293	0.07646215464
294	0.07643715856
295	0.07640656044
296	0.07635904507
297	0.07631609361
298	0.0762416374
299	0.07622552748
